output,correct out,translated
it is likely to rein and show the umbrellas in the bag else and show the umbrellas,"if it is likely to rain ensure the umbrella is in the bag, else ensure the umbrella is",Wecan सूची के एन पर शुरू होता है और काम वापस wuords इसलिए tisio o o tou से भाग रहा है
the remander of zero then we are found te dicidi namely the smaller of the tle malies so te,n if the remainder is 0 then we have found the gcd namely the smaller with two values.,गार्नि यह है कि आप हमेशा एक सह आदमी के रूप में o o t ors के रूप में g ors करेंगे यदि कोई ओ नहीं हैं
for our final lecture of this first week we will see how to actually use biton on,"for our final lecture of this first week, we will see how to actually use python on",वह बहुत ही अंत में कारकों को हम asegrata t कमांड पर पाएंगे
amusing if i an bolkit it will produce some messages telling me what type of function,"i am using. if i invoke it, it will produce some messages telling me what type of function",सबसे बड़े से सबसे छोटे से पहले कॉर्मिन कारक से पीछे की ओर काम कर रहे हैं
mary can also defane functions remember how we defaned a function we used,"with it. now, you can also define functions remember how we defined a function, we use",हम वास्तव में orm पायथन में आते हैं
es bhe couse this confuar gets you confused the amessage is conveyed lets you,"spaces, because this gets you confuse the error messages form python. so, let us use",और weimplicitlyegeit frome इस समारोह every समय wi se ao में एक रिटर्न स्टेटमेंट
o stoospaces so let us us for the stake of a illustration clear,two spaces. let us to the sake of illustration create,yy minas o vais opprat o के कोरेंट Vavu लेते हैं और इसे दोहराता है और ni द मैथोमडी
is to complicate protypin without making a mistake and secondly you might want,"is too complicated to typing without make in a mistake, and secondly, you might want",किसी भी अन्य प्रोग्रामिंग में विट एक पाप एक मूल्य है तो यह फिना है
agin so for this what we need to do is first tate to functionlin poo fal and then,"again. for this, what we need to do is first type the function in to a file and then load",प्रत्येक ब्रॉन पर स्वागत करें कि हम क्या कर रहे हैं हम एक सॉर्ट किए गए सेगमेंट में एक नया मूल्य सम्मिलित कर रहे हैं
e command prompt so i have actually already created some thing so thet us start,"the command prompt. so, i have actually already created something. let us start with, so i",nt kay
it siuse an litical e max you can use any tex edico if youare using windows you can you,"use an editor called emacs, you can use any takes editor if you are using windows, you",Theino n का अनुक्रम हम af alue intuthat asortedsuonerning सम्मिलित करते हैं
the point to remember is that i have made sure that all these indendations ar,before. the point to remember is that i have made sure that all these indentations are,ht ns में ssot था
at at the same number of spaces in agn so this is something to remember so now you tip in s,"at the same number of spaces in. so, this is something to remember. now, you typing",o sepose हम दूसरे को मानते हैं कि हम एक सूची लेते हैं जिसके साथ पहले से ही सॉर्ट किया गया है
ays that so long as the remainder his norzerobe keep up rating e me en to en and remainder anthe finally we,"says that so long as the reminder is not 0, we keep updating m and n to n and the reminder,",हम के रूप में यह sot के रूप में है तो यह तुरंत वापस wos
lad i lou that beswol before wita think was say seven names e  and now you se,large value that we saw before and which i think was say 9999999 and 1000000. and now,क्या हम विट की तुलना में बड़े हो सकते हैं
kes it more consistent and more easy to use but as often happens a lot of people,"makes it more consistent and more easy to use, but as often happens a lot of people",तो प्रत्येक सम्मिलित कदम केवल एक itratio को रोकता है
writon is somehow not executable and explained wy so do play around with it and,"have written is somehow not executable and explains why. so, do play around with it and",इनसेट को स्टोर करने के लिए पहले तत्व से परे कुछ भी नहीं जाना है
you may find as we go along with there something that you don't understand or something,may find as we go along that there is something that you do not understand or something new,वास्तविक रूप से अगर हम एक लार्गेस वैल्यू लेक्ट एन थूसन को भी रोकते हैं या यहां तक कि थूसन को सम्मिलन द्वारा बंद कर दिया जाता है
once you have learned one landage even though the features and the sintex rary from la,"once you have learned one language, even though the features and the syntax vary from language",जब आप पहले से ही एक सॉर्ट की गई सूची में हैं तो inshot को छोड़ दिया जाएगा
so this has forced bryton two point seven to live on eeventually we hope that somebody will take,"so, this has forced python 2.7 to live on. eventually we hope that somebody will take",एक अनुक्रम में और इस बारे में कोई पूर्व ज्ञान नहीं है कि अनुक्रम क्या पसंद है
effort to move fightin to point seven legeries to pite and three and of course mere cold his lage,"the effort to move python 2.7 libraries to python 3. and of course, newer code is largely",तो हम जो करते हैं वह हम ऊपर से नीचे तक और इतने लंबे समय तक पेपर की तुलना में स्मोलेयर हैं
ly bing nevlop on pike and free but you should remember that when comebody says the,"being developed on python 3, but you should remember that when somebody says that they",स्टैक हम मधुमक्खी हैं
using piton they could be tokle about two point seven and not three and you have to make a jessmes,"are using python they could be talking about 2.7 and not 3, and you have to make adjustments.",तो हम इसी सूची के साथ क्या करते हैं जो हमारे पास चुनाव के लिए था
are your working on linneks or on a mack or on windows you'll be able to find diversion of pikan,"are working on linux or on a mac or on windows, you will be able to find a version of python",]
we will see which as lately different into point seven and we will explore them in tree and i will,"we will see which are slightly different in 2.7 and we will explore them in 3, and i will",निन्सो ने इकोजेस की तुलना में एसएमएलई में तब वाई लोके के बाईं ओर गूस किया
ese by thin three fifty to three fiftys e verrink o three pint five pont zeadl,"get to this url. so, www.python.org downloads release python 350. 350, is really refer into",f i
sactly the dirond posones it does not leap on five pon zedober tleep on five pon poo so you will,"3.5.0. so, actually the current version as i said is not 3.5.0, but 3.5.2. so, you will",हम सॉर्ट किए गए तत्व पर एक तत्व के साथ एक तत्व के साथ एक क्रमबद्ध अनुक्रम का निर्माण शुरू करते हैं
and install it these are designed to be fairly self explinetely installe fins if you ha,and install it. these are designed to be fairly self-explanatory install files; if you have,तो nw हम फिर से iacompperit के लिए previuse vlue a अगर यह molere हम एकांगी है
with the actual programming part so,with the actual programming part.,अगान इसका मतलब है कि यह एक और स्थिति है
is the distinction between interpreters and campatis so the main difficulty is,"is the distinction between interpreters and compilers. so, the main difficultly is that",अब हम old स्टैक से Secande पेपर की तस्वीर लेते हैं और हम इसे कम्पेड के रूप में चिह्नित करते हैं
and light inspections so these are somewhat high level inspections on the other hand compute,"and write instructions on. so, these are somewhat high level instructions. in the other hand,",o कुछ भी नहीं होता है
arag js so we said arainsa jes as a high othe thing and we said put  b js,"chairs. so, we said arrange the chairs as a high level thing, and we said put 80 chars",इसी तरह हम [unk] फिर [uk] nyn sins n [unk] की तुलना में tek [unk] को tek करेंगे।
in ten in eigh rows then each  so he said that there could be a difference,"in 10 in 8 rows, 10 each right. we said that they could be a difference in",बंद करो और अब स्थिति ई है
e are going to explore in discourse and mit all programmes nomilly worth with,are going to explore on this course and which all programmers normally work with are at,Inganl betn gou s sc n तो इस lits तो यह foroe twu
iever th proclamming language and pranze slaves programms in that language to a machine level,level programming language and translates programs on that language to a machine level,"Rlors और हम कहाँ करने जा रहे हैं, क्या आप उस पर yood पर माल tipe tipe हैं"
s in your language in this case by thin and the interpreter iternally figure so,"in your language, in this case python; and the interpreter internally figures out how",पायथन पायथन नप का पुट एक सूची नहीं है इसलिए आपको उपयोग करने की आवश्यकता है
so we you spite antipically in the following way we first run the interpreters i remember,"we use python typically in the following way; we first run the interpreters. so, remember",thisis या distrtia n letus pyptpe forintripl तो वेस्रे wyo d nt wyl syd a ekin rane और vit करते हैं
canfude comminds and see what he does so he's beten detective,"calculator; you can feed it commands and see what it does, so it is very interactive. of",afutinod और विशेष रूप से आपको erlese datarsn में देखना चाहिए
without using three point five or three point four but there are differences between two point seven and three and for,"whether you are using 3.5 or 3.4, but there are difference between 2.7 and 3. and for",या टी।।
so this way this will peldi tepreter,"that is written there. so, this will tell the interpreter to take everything that is",o यहाँ ptos की परिभाषा है कि हम havd exraredence atd पर havd
e use so these things will become a little clearerer than in the damor thet em just going to show you,"used. so, these things will become a little clear and then in the demo that i am just",niporotsid आपको केवल एक कॉपी upinsdece मिलता है हम hr fo ve का उपयोग कर सकते हैं लेकिन
get into the real details aboard exactly what goes into a pitin proglam,get into the real details about exactly what goes into a python program.,"n तब हम इस सूची को कॉपी करते हैं, फिर यूएस वेसवे ते वास्तविक eantorec l"
for here is a window showing a permanal which on windows wull be like a command prompt,here is a window showing the terminal which on windows would be like a command prompt,ont का उपयोग करें यह सूची आप हमें सूची फ़ंक्शन tonmvertit और यह करना होगा
stanthosan thesos,is 1024.,मुझे उम्मीद है कि आउटपुट यूपीएस है
oh when we have tento the seven the log is going to be something like drain't be something,"so, when we have 10 to the 7 then the log is going to be something like 20 something,",सोमरिस मैप और फुटर और फुटर और टोटे का अपमान से मैनीक्लेटिंग तक का अपमान
ix who some g,6,रियासतों की सूची खाली है और अब हम संख्या सूची के माध्यम से और प्रत्येक सुन्न के लिए चलते हैं
on two ondred or three hundred and iu wil get to exporentions le crutova en and infactorial then unless you ha,"when you get to the exponentials like 2 to the n and n factorial, then unless you have",कि comenation का उपयोग करके fftorand का उपयोग किया जा सकता है तो पहले हमें देता है
and put that is really small lake ten or something at that your won't hit problems,"an input that is really small like 10 or something like that we are going to hit problems, because",y pytagoiis उसे क्रम में hif e ia et thyipotns सम्मान पर sids के अन्य घनत्व
this gives us an idea that given that our system that we are working wit by,this gives us an idea that given that our system that we are working which python can,ther al posibl आने के बाद हम बाहर निकालते हैं डॉस आओनेशन tbo sd sr
what kind of imports will be realistic to process given the tape of algarlen that we are ex,what kind of inputs will be realistic to process given the time type of algorithm that we are,"तो पायथन tas एक निर्मित फ़ंक्शन मैप wich dus ठीक है, तो चट f tl को लागू करता है"
no,executing.,बर्तन की तरह किसी भी एल बस्ट की शिकायत करने के लिए
o thi stable is more or less valued up to a scaling of a few pence looking in in different language,so this table is more or less valid up to a scaling of a few tens in different languages.,Thatretes s ser litl में एक जटिल के साथ BU प्रतिज्ञा विफ़र की तुलना में
aid that the worst case would occur typrically when the value that we are trying to find,that the worst case would occur typically when the value that we are trying to find,OFA हमने पायथन में इतने बुनियादी प्रकार के मूल्यों को देखा है
if you look at algordhem's books or complexity theretic books any polynomial an,"theoretically if you look at algorithms books or complexity theoretic books, any polynomial,",तो यह इस सूची का एक ublist oe ouer list y whice givs ust ust the list t [unk] हम फिर से
as a bery severe limicrate we can only go aboat forty five thousand,"has a very severe limit, we can only do about 4 to 5000.",n ओ बस एस पर
ti so so if you are doing something in end square tan regard brosa something larger than,if you are doing something in n squared time we cannot process something larger than a,तब एक ही नाम n nestered सूची में yay nestere के मान के plase में एक है
of alguridems so,of algorithms.,पात्रों का एक अनुक्रम
unfortunately in order to termine something like an average case in a mathematically pusa,now unfortunately in order to determine something like an average case in a mathematically precise,"हम पाठ को बदलते हैं, यह सवाल है"
sway is not very easy we have to have a probability distribution of our own imports and then meas,"way is not easy, we have to have a probability distribution over all inputs and then measure",जैसा कि हम अपने वास्तविक पिता का मान नहीं करते
n between in putzes and oputzes so we expressed this up to proportionality s,between input size and output size so we express this up to proportionality.,fwe का कहना है कि Asin मान ss के लिए s वर्ग brakat तो हम yt h स्थिति usin प्राप्त करते हैं
we are not readly interested in exact constance we want anall for instance his teal of an proportion,so we are not really interested in exact constants we want to know for instance is t of n proportional,yther nam अगर हम meutalevl Valu को opbdate करने के लिए hapben
so we are not going to go into much detail in discourse of out holbigo is defain,"so, we are not going to go into much detail in this course about how big o is defined",दास में अंतिम स्थिति तनाव की एस सूची का लिंग है और इसलिए टी बो
and calculated but is used to useful shorthand for discrabe the a efficiency of oter lims,"and calculate it, but it is a useful short hand to describe the efficiency of algorithms.",एक विच उन्हें bort
talk about the efficiency as a function of the imput states so,to talk about the efficiency as a function of the input size.,इसलिए इस सूची के बाद वॉन इंडस्ट्री
be reasonable inportstet we can expect to compute within a few seconds,could be reasonable inputs that we can expect to compute within a few seconds.,Woney FTV को सूचीबद्ध करें और इसे नाम सूची दें
we realize that something may be wrong,we realize that something may be wrong.,"होने के लिए अमेवल्यू है, लेकिन दो अलग -अलग चीजें हैं और इसलिए यह है"
me to we in if we sh,it to be inefficient.,इसलिए यदि हम सूची t को अपडेट करते हैं या हम सूची को अपडेट करते हैं कि wil में Revn जारी है
so if we look at this we have to no figro hole fast a compupaza,"so, if we look at this, we have to now figure out how fast our computers are.",ओ एक ही बात के रूप में एलएस के लिए
re we have a bunch of frogram that yo all dewritten and here is at tenth late,here we have a bunch of programs if you already written and here is a template.,है
so if i sayn gould speed foredor fi fit,so if i say look at speed4 dot py.,"मान ned एक यूनिफ़ॉन प्रकार का नहीं है, हम yor सूची में mict सूची encsis कर सकते हैं"
on an imputo sasin,on an input of size n.,और हम उसकी सूची में घोंसला बना सकते हैं
four so for m in range zer o two in thouse ten thousand minurs one we just assigns m to be the valueoi and finally t,"so, for m in range 0 to 10000 minus 1, it just assigns m to be the value i and finally","n पाइथियन का नया भ्रूण जिसे हमने सूची के साथ पेश किया है, वह एक उपयोगी मूल्य की अवधारणा है"
as the statement we haven't seen so fa but whi should be quite indue to bit,"there is this statement we have not seen so far, but it should be quite intuitive which",Ingoftei tho o हम samethin प्राप्त करते हैं
es ire a bunch of scrips we are written fot piton from speed for to speed mane f,these are a bunch of scripts we have written for python from speed4 to speed9.,ऐसे ही बनें
first of one i can take biton and i can derically use the name of the pitan programe,first of all i can take python and i can take directly use a name of the python program,इस ओ के बिना इस मुख्य के लिए एक मान्य फ़ंक्शन t ly
so i can say bythins epin fit and give the name of the sqip and itl executed,"so, i can say python 3.5 and give the name of this script and it will execute it and",एक सूची
if i do this on the other hand five temes then it goes on wine zeal at ly,"if i do this on the other hand 5 times, then it goes from 0.03 to 0.5.",Theris कोई Matpeaino Sttoi Syso हम तब TI को संस्कार कर सकते हैं
ind fight so is roughly a factor of pen as you would imagine which is reasonable,"so, it is roughly a factor of 10 as you would imagine which is reasonable.",इन पुरुषों के लिए हेल्टर एक अच्छी खबर होगी ताकि यह घाटी और यह कि यह ymedime में कर सकता है
gone up to what point po sicinses it,gone up to about 0.2 seconds.,एक avetsteocad इस प्रविष्टि और फिर y को y plus को douan पर ener ying करना चाहते हैं
o the seven takes aboard a second no more so,10 to the 7 takes about the second or more.,हमारे पास इस उद्देश्य की गणना करने के लिए आदेश और मान इकाई हो सकती है
e long familing are sitting in front of a slee and waiting for villestance,long time when you are sitting in front of a screen waiting for the response.,"टी केवल एक चीज जिसे आप मेड करते हैं या नहीं, यह है कि हमने एसओएम का उपयोग किया है"
so it turns out as if something takes longe and of tame then even for ten with the ten it takes only thirty three,it turns out as something takes log n of time then even for 10 to the 10 it takes only 33,इंगल ने मुकदमा करने का एक तरीका जस्ट किया कि हम डॉ।
stips and we are fane,steps and we are fine.,उस में calitpars
of course it flaned the inpotis leniat wen were ignoring the constant than ipotor sa,"of course, if input is linear then we are ignoring the constant then the input of size",इसलिए हमने देखा कि और एनोर विल ने ड्रेकोस की खुजली दूरी के लिए आनुपातिक समय लिया है
decreasi what happens when it actually reaches one,"decreasing. what happens when it actually reaches 1? well,",उदाहरण अल Thexaples में हम इससे पहले हल करते हैं अगर हम ar c थे
the remainder will be one will be zivo eh so we will return jissy do zeo in other words weare guarantee,"the remainder will be 0, so we will return gcd of 0. in other words, we had guaranteed",और s dothe mattea w iswustyi [unk] rsso tenst rst
o start and so this is e is this is yoclexaberim the first version,"start. this is euclidãƒâ€¢s algorithm, the first version",कंप्यूटिंग की जटिलता क्यों यह मामला है
where we observed that the decity of manen can be replaced by the dicity of n and  manason n,where we observe that the gcd of m and n can be replaced by the gcd n and m minus n. and,डी सिंह लाइन्स एक inr को ondred teon सौ कदम yd gust क्लैप्स इस ro पर मिलता है
i will in state compute thicity of some other value and use that answer to return my answer,well instead compute gcd's on some other value and use that answer to return my answer.,"जिसमें आप चरणों के सहयोगी को करते हैं, वह समय से कम हो सकता है या खराब हो सकता है"
beginning so winso starting from one and working upwards to the minimum of,"the beginning. so, instead of starting from 1 and working upwards to the minimum of m","उत्तर जो सिम्स है, इसलिए अंतिम enry में हमारे पास Brdo m we ave है"
and then seeze a hat to its as though this statement was not part of the piton,"and then sees the hash, so itãƒâ€¢s as though this statement was not part of the python",जिसमें इस चश्मे को डी करने के लिए ताकि हम बो में संचालन को अनुकूलित करें
enen it's better to start with minimum of evenen and work backwards to one and,"and n its better to start with minimum of m and n and work backwards to one, and as",बात यह है
and put it on a separate lane or he can put it at the end of the lin,can put it on separate line or you can put it at end of the line.,"यह तब तक है जब तक कि क्यूग, और yylltle स्पिंट्यूवेंट को क्यूर्ट को फ्यूबेट्स को कॉनिंग करने के लिए"
so this pint if we're found en says ther and divides and weare done,do some computation. at this point if we have found n such that n divides m we are done,ongmat टैंड ई तुरंत इंटिसो करते हैं
y pen actually produces te renaitive so this not equal to symble is written with hi exclamation,"by n actually produces a remainder. so, this not equal to symbol is return with this exclamation",onsup provms तो हम सबसे लंबे समय तक comn बाद में गीला करते हैं पोर्टोंड हम ou sup provr हैं
remember that this elbel equipe was what we used bor the mathematical simple of equality so,remember that this double equal to was what we use for the mathematical symbol of equality.,बाकी को आंशिक रूप से सोते हुए परिणाम यह एच का वर्णन करने का एक बहुत ही आकर्षक तरीका है
as soon as we find a common factor we reported and exit rememb,soon as we find a common factor we report it and exit.,"उसके पास है और इसलिए हम इसे ऊपर उठाते हैं, हम एक ओडिंस को इस तथ्य के बारे में बताते हैं कि वें"
ut always that one is guaranty to a copeabomen factor so when we start from linm,remember always that 1 is guaranteed to be a common factor. so when we start from minimum,"मान ओआईएस वास्तव में पुन: व्यवस्थित नहीं है, लेकिन एक डब्ल्यू से एक डब्ल्यू से टैब में लॉक किया गया है"
wer scase and will become one and one will divade everything,worst case n will become 1 and 1 will divide everything.,nw ifwdnothiu अब हम वापस जाने के लिए वह winotti या एक यह हमें संकलित करने के लिए गधा
rote alier so if it helps you can look at these side by sile and tigt to understand what,"wrote earlier, so if it helps you can look at these side by side and try to understand",अन्य है हम ओ बचाव प्रतियोगिताओं को थ्रो करते हैं यह सामान्य प्रतियोगिता है जो मा को पकड़ती है
theperse of thing is doing and what the while is doing and see that there besi,what this recursive things is doing and what the while is doing and see that they are basically,acareccor f ol ad dieventual com up wth एक नया मूल्य जो वह मूल्य या इस पार्टिकुल है
y doing the same thing and the idea that the digursion must come in it,doing the same thing. and the idea that the recursion must terminate,संस्करण और ई सूची नहीं क्योंकि तर्क किसी भी विशेष vuls o हो सकते हैं
he whail exist so des like the decursion can go on forever if you don't i,"the while exits. so, just like the recursion can go on forever, if you are not careful",o हम मूल रूप से तर्क के पार्टिकुला कॉमेनेशन के लिए देखते हैं कि हम देखते हैं कि क्या एक टैक हेमनेशन
leminine and go backwards if we don't see any other common factor we are st,"of m and n and go backwards, if we donãƒâ€¢t see any other common factor, we are still",S का शब्दकोश n में है इसलिए हम इसे lk करते हैं और मैं अन्य Wis की गणना करता हूं
ou are not careful thand you don in walk it with arguments which guarankey termination the wat and also,"and you do not invoke it with arguments which guarantee termination, the while can also",इस संयोजन के लिए एक nue मान इसे संग्रहीत करता है और फिर लौटता है कि हमारे पास BLOST O है
we can actually do a little better thn this o let us see one problem with this bettleing a ha,we can actually do a little better than this. let us see one problem with this by doing,s तो हेवुल ओल्डवास एक शुरुआती बिंदु है और हम इसे सीधे अपप्रवेल्स कह सकते हैं
nd execution so supposing we starve with some number like d c l of one hundred and one and two then our,"a hand execution. so supposing we start with some number like gcd of 101 and 2, then our",Ave का अनुसरण करने के लिए inductie संरचना yocan सीधे sloan tel my जो अल हैं
i willenwe say that this would now become ye say to yor the difference and n the differences nanteen,"algorithm will say that this should now become gcd of the difference and n, the difference",t तो हम एक नीचे शुरू कर सकते हैं और फिर हमारे selsup काम कर सकते हैं हम कह सकते हैं
we'll keep doing this about fifty steps and then eventually will come down too ye see lor fi ant to,we will keep doing this about 50 steps then eventually we will come down to gcd of 5 and,o Ingeneral wen हमारे पास ऐसी आगमनात्मक परिभाषाएँ हैं जो हम पहले करते हैं
l guarantee that we will exist correctly when we hit one so what we noticed that was that,"guaranteed that we will exit correctly when we hit one. so what we notice that was, that","o इसलिए हमने हम Ave और f rs की गणना करते हैं, हम Amind को ANR की गणना कर सकते हैं"
a mumber wit e be nown on a school yet if we were just on grooping factors we'd say that the vonyfactor of,"the minimum is 2, if you were just computing factors we will see that the only factor of","उदाहरण के लिए हम जिस उत्तर तक पहुंचने की कोशिश कर रहे हैं, उसे प्राप्त करने के लिए ऐसा करना है"
his stool and is nartifactro under an rundred a sart right a pin so this actl,2 is 2 and it is not a factor 101 we would have stopped right at beginning. this actually,उन चीजों की कारखाने की गणना करने के लिए जिन चीजों की हमें एन मीनार के फैक्टरियल की गणना करने की आवश्यकता है
seems sutme worse than at only at teren in certain kisses so,seems to be worst then our earlier algorithm in certain cases.,हम कहते हैं कि एक आदमी अयस्क tavalhs coaldean imoiation है और हम alweays alweays the tabal befor b
though these different versions are simpler than the earlier versions they all have the same,though these different versions are simpler than the earlier versions they all have the,इसलिए उन्होंने एक वोर्ट एस्टोर्टोर को बुलाया
that its mentin so this is bos enboes into em cutangs and leaves at mainte irh and we are gad inteed that i,arithmetic. n goes into n q times and leaves a remainder r and we are guaranteed that r,इसी तरह से धूम्रपान करने के लिए जैसे कि हम की जरूरत के लिए फ्लूटिस्ट को srt करने के लिए
y smaller than an atoiys ou it would go an more then to become tooples one e so we ha,"is smaller than n, otherwise r it could go one more time it will become q plus 1. we",al al al elements eluding theffirst on wha ने सूची की पूंछ को प्रकट किया और
bity ma a argi tist mono ten so for example if i say seven an i wante de be,have the remainder r which is smaller than n. so for example if i say 7 and i want to,Nintern हमें छंटनी करने की आवश्यकता है और इतने पर असीम पर
a common debazer for bort m n n in other words lake before we can rite m itself,a common divisor for both m and n. in other words like before we can write m itself as,एफ या एआर के वास्तविक मूल्य को वें यूप्रॉप के समाधानों को मिलाकर इनपुट डब्ल्यूवाई दिया गया
so ise so if you'd plut us into the quision above here e then we see that m which is,"so is n. if you plug this into the equation above here, then we see that m which is a",वह pukounrtcy numbersa o और फिर आप एक pleus एक के रूप में एक [unk] os एक पर एक एक pleu
asle,well.,ussest वह पिछले को पसंद कर रहा है
the same as before otherwise let ou be the remainder o get  the valu,"same as before. otherwise, let r be the remainder with the",अपने आप में तो एफ एनएएस त्रुटि retturns enisn w वापसी डॉन चिकित्सा
t wy when it wordn't eo remember hit that our is definitely less than it so we don't,point one important thing to remember is that r is definitely less than n. so we do not,Umon arh के संकलन को पूरा कर सकते हैं हम proug n othe शब्दों पर मूल्य प्राप्त कर सकते हैं
two numbers and we deedplaace end by the remainder and we proceed now we are guaranteed th,two numbers and we replace n by the remainder and we proceed. now we are guaranteed that,"o अब हम वापस आ गए हैं, n weae की uni ने Narof के बाईं ओर की गणना की है"
so if we go back to the example that we were looking at so we saw the disydeen hundred and one tool,"if we go back to the example that we were looking at, so if we saw that gcd 101, 2,",और पीविन [ठीक] तो हम सोनो के साथ डॉन है हम इवेना ओटीआई करना चाहते हैं
number of steps was the a billion steps but this algerlon because of the claim that it takes time proporti,of steps say a billion steps. but this algorithm because of the claim it takes time proportional,कि हम ordady की गणना की गई है
as of what proglamming te lestotous and avolyms o the proglamming,"is about programming, data structures and algorithms. so the programming part talks",Downalthe रास्ता P और अंततः हम y wil of couse के t को जीतते हैं
y to make sure that it discorri and easy to read and maintain so that is a proglamme,"to make sure that it is correct and easy to read and maintain, so that is the programming",अगर हम उन उप समस्याओं को याद कर सकते हैं जो हम खाए हैं तो हम अल हम AVE AVE
these ideas that the ideas themselves come from algosms and day desprits,"these ideas, but the ideas themselves come from algorithms and data structures. ",टिसिस केवल एक खदान एक कॉमिन लेकिन गर्भाधान ओ mrcutout माँ इन्सॉर्ट में मूल आदेश है
st from these tulists extract the list of common factors and report the largest one,"list, from these two lists, extract the list of common factors and report the largest one",अर्न एक इटिस अब फॉल का उपयोग करता है क्योंकि यह पट्टियाँ कई अन्य चीजों में ओ हैं
turn out that these also the largest deviser it is common to m n and in menacen e,"turn out that d is also the largest divisor which is common to m, n and m minus n.",s का mla भेजा जाता है कि हम प्रत्येक और समय में क्या करते हैं
o here is the first version of euclisapulen so consider the value g c d of,"so here is the first version of euclidãƒâ€¢s algorithm. so, consider the value: gcd of",Comppareson और फिर हम एक ainement करते हैं और हम sme dicesese so thi impremnt
in this common factiv list our first implictication was to observe that we can actually do a single,in this common factor list. our first simplification was to observe that we can actually do a single,हम कह सकते हैं कि एक फ़ंक्शन के रूप में मर्च मेरे और मैकिन के ऑर्डर के स्टिन लेता है और
f computing the decity of m an and that we started with we comute the decity of n and m minor se,"computing the gcd of m and n that we started with, we compute the gcd of n and m minus",n ilements कई बार एक tackin d सूचियों में m की सूची है यह merkhi compounet है
so here is a biten implementation of this idea so theyre are a couple of new features that h,"so, here is a python implementation of this idea. there are a couple of new features that",हम सबसे अच्छे मामले के साथ शुरू करते हैं यदि हमारे पास एस की सूची है तो हमारे पास कुछ भी नहीं है
at introduced here so let us look at them the first is this special statement w,"are introduced here, so let us look at them. the first is this special statement which",इसलिए हम डी टाइम टी को स्क्वायर के रूप में लिखते हैं और हम इस एफओ को डॉव स्क्वायर के रूप में लिखते हैं।
o comment is a statement that you put into a programme to explain what is going on,so a comment is a statement that you put into a program to explain what is going on to a,यह जुर्माना है कि यह इस रूप में इसे लिखने के बराबर है टी टी सू और बी को निचोड़ने के लिए
a person reading the proten but it is ignored by the computer executing the protem so,"person reading the program, but it is ignored by the computer executing the program. so,",इसलिए हम टी timsy emn biye के लिए विस्तार करते हैं कि il हमें tu द्वारा nother en देता है
of tem wosn the value of him now it is important that it i simultaneous,"value of m goes into the value of n. now it is important that it is simultaneous,",एस के लिए मेर्टन का विश्लेषण करने के लिए पहली चीज जो हमें करने की ज़रूरत है वह है ले एनालिसिस
worrying about having this extra temporary place to part on mely,worrying about having this extra temporary place to park one value.,के रूप में यह indso पर बन जाता है के रूप में disperd तो e है touw to ga है
is satisfact so now we come to the cracks of the ago so if en debites m,assumed is satisfied. so now we come to the crux of the algorithm. if m divides n that,"और फिर हम एक p [unk] पर FOM की सूची को बुद्धि देते हैं, तो यह कैसे है"
de city with the maximum balu offend in the difference as the first sagument and the minimu,call gcd with the maximum value of n and the difference as a first argument and the minimum,सोब मर्च क्या हम usseto को लागू कर सकते हैं वेरियस कॉमवेनेशन लाईस पर संचालन संचालन
ma you offendin so to make sure that the bigger of the tube,value of n and the difference. so it will make sure that the bigger of the two values,ट्यूलिस्ट के संघ को लेने के लिए Itcan का उपयोग करें और लाइसेंस के लिए लाइसेंस का उपयोग करें
this problem by solving the smaller problem and using that answered in discase directly,this problem by solving the smaller problem and using that answer in this case directly,यदि आप सूची diferenceto सूची करने के लिए गणित का उपयोग कर सकते हैं
but the dicity of mman en instead we saw the dicily of n an an minacin and whatever answere that gi,the gcd of m and n instead we solve the gcd n and m minus n and whatever answer that gives,मोर्थ सोर यह है कि हम हर बार एक नया दिन बनाने के लिए मजबूर होते हैं जब हम सूची में विलय करते हैं
